Titre original,Note press,Notes spectateur,id allocine,Box office,date,duree_minutes,Nombre_de_critiques_presse,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs,mois_sortie,annee_sortie,titre_normalise,nom_du_realisateur
68 Kill,,3.0,255966,,2019-01-10,95.0,,51.0,11.0,1.0,2019.0,68kill,"De
Trent Haaga"
Savage Dog,,2.0,253600,,2017-08-04,94.0,,71.0,9.0,8.0,2017.0,savagedog,"De
Jesse V. Johnson"
The Polka King,,2.2,246740,,2018-01-13,95.0,,138.0,9.0,1.0,2018.0,thepolkaking,"De
Maya Forbes"
Roxanne Roxanne,,2.7,252146,,2020-12-10,100.0,,77.0,5.0,12.0,2020.0,roxanneroxanne,"De
Michael Larnell"
Armstrong,,1.8,270897,,2017-09-12,84.0,,15.0,5.0,9.0,2017.0,armstrong,
Skate Kitchen,3.0,3.7,258156,1254.0,2019-01-30,107.0,9.0,64.0,5.0,1.0,2019.0,skatekitchen,"De
Crystal Moselle"
Kill 'Em All,,1.9,255974,,2017-06-12,100.0,,79.0,10.0,6.0,2017.0,killemall,"De
Peter Malota"
Sharknado 5: Global Swarming,,1.6,253754,,2019-02-19,86.0,,129.0,20.0,2.0,2019.0,sharknado5globalswarming,"De
Anthony C. Ferrante"
Running Wild,,2.2,239917,,2020-06-12,99.0,,42.0,5.0,6.0,2020.0,runningwild,"De
Alex Ranarivelo"
Little Evil,,2.1,250262,,2020-04-10,95.0,,319.0,34.0,4.0,2020.0,littleevil,"De
Eli Craig"
Step Sisters,,2.8,243060,,2020-04-28,104.0,,191.0,7.0,4.0,2020.0,stepsisters,"De
Charles Stone III"
